CustomerID,FirstName,LastName,Email,Phone,City,CreatedAt
1,Mahdi,Mohammadi,mahdi.mohammadi1@example.com,09135614226,Shiraz,2022-04-03 05:04:49
2,Fatemeh,Mohammadi,fatemeh.mohammadi2@example.com,09962458591,Kerman,2023-05-15 01:09:25
3,Ali,Mohammadi,ali.mohammadi3@example.com,09374903402,Rasht,2024-05-17 00:57:58
4,Amir,Rahimi,amir.rahimi4@example.com,09938038374,Shiraz,2023-07-09 21:27:16
5,Mohammad,Ahmadi,mohammad.ahmadi5@example.com,09308090293,Karaj,2022-07-24 05:39:39
6,Mina,Jafari,mina.jafari6@example.com,09232556017,Qom,2021-07-18 13:04:12
7,Negar,Jafari,negar.jafari7@example.com,09875437923,Tehran,2025-02-03 16:43:37
8,Amir,Mohammadi,amir.mohammadi8@example.com,09582322047,Rasht,2022-08-24 22:53:17
9,Neda,Jafari,neda.jafari9@example.com,09834226067,Hamedan,2021-05-23 01:40:06
10,Mahdi,Rahimi,mahdi.rahimi10@example.com,09472338687,Shiraz,2021-07-26 13:50:23
11,Mohammad,Sadeghi,mohammad.sadeghi11@example.com,09917120868,Isfahan,2023-01-29 12:56:06
12,Mina,Nazari,mina.nazari12@example.com,09442197935,Kerman,2024-07-24 06:13:51
13,Amir,Rostami,amir.rostami13@example.com,09413741438,Ahvaz,2023-02-17 09:49:42
14,Mahdi,Rostami,mahdi.rostami14@example.com,09814684531,Yazd,2022-10-27 02:02:11
15,Mina,Ahmadi,mina.ahmadi15@example.com,09507730428,Tabriz,2021-05-16 07:40:53
16,Neda,Rostami,neda.rostami16@example.com,09504567281,Yazd,2023-10-20 14:24:16
17,Mahdi,Sadeghi,mahdi.sadeghi17@example.com,09285443951,Isfahan,2022-05-21 20:26:19
18,Amir,Hosseini,amir.hosseini18@example.com,09848187926,Kerman,2023-03-29 13:10:47
19,Mina,Karimi,mina.karimi19@example.com,09759279821,Mashhad,2021-04-07 03:59:31
20,Sara,Nazari,sara.nazari20@example.com,09308082668,Kerman,2021-05-11 14:00:32
21,Hossein,Gholami,hossein.gholami21@example.com,09699877065,Tabriz,2024-02-08 00:25:04
22,Mahdi,Rostami,mahdi.rostami22@example.com,09245476583,Yazd,2022-11-28 04:03:41
23,Mohammad,Moradi,mohammad.moradi23@example.com,09308612220,Tehran,2025-01-18 09:35:22
24,Amir,Karimi,amir.karimi24@example.com,09742785277,Yazd,2022-09-04 23:15:48
25,Amir,Gholami,amir.gholami25@example.com,09353564217,Karaj,2021-11-27 19:38:17
26,Armin,Ebrahimi,armin.ebrahimi26@example.com,09106438436,Ahvaz,2021-02-09 04:04:22
27,Zahra,Hosseini,zahra.hosseini27@example.com,09401971823,Shiraz,2024-03-07 02:52:02
28,Reza,Rostami,reza.rostami28@example.com,09722161193,Rasht,2021-09-15 04:40:28
29,Mahdi,Sadeghi,mahdi.sadeghi29@example.com,09803770370,Tabriz,2023-12-17 22:05:07
30,Hossein,Rahimi,hossein.rahimi30@example.com,09794374754,Hamedan,2022-10-01 14:31:36
31,Mahdi,Nazari,mahdi.nazari31@example.com,09578350099,Rasht,2023-07-14 04:24:20
32,Mina,Rahimi,mina.rahimi32@example.com,09186672134,Tehran,2024-04-19 20:10:03
33,Mina,Gholami,mina.gholami33@example.com,09381120642,Mashhad,2024-12-20 22:58:39
34,Ali,Rahimi,ali.rahimi34@example.com,09181527021,Karaj,2021-05-26 18:43:11
35,Mina,Hosseini,mina.hosseini35@example.com,09959143903,Shiraz,2024-01-10 04:49:02
36,Fatemeh,Gholami,fatemeh.gholami36@example.com,09838930103,Shiraz,2023-08-27 14:49:14
37,Mina,Mohammadi,mina.mohammadi37@example.com,09228231838,Karaj,2023-05-18 14:58:03
